"Dragon Word","Word Type","Canon Level",Definition,Notes
Bahwun,verb,Non-Canon,Accustom,"From Old English ""bewuna"". Edited from ""Bequn."""
Bahyek,noun,Non-Canon,"Stream, Creek, Brook",
Bal,noun,Semi-Canon,"Worth, Value, Appreciate","Derived from ""Balaan"", ""worthy"". Edited from ""Bahl."" As a noun ""worth or value."" As a verb, ""to value, appreciate, or consider worthy."""
Balaan,adjective,Canon,Worthy,
Balaar,noun,Semi-Canon,Avail,"Related to ""Bal"", ""worth"". Edited from ""Bahlaar."""
Balaas,verb,Semi-Canon,"Esteem, Admire, Admiration","Both a noun and a verb. Based on ""Bal"", ""worth"". Edited froom ""Bahlaas."""
Baliis,adjective,Semi-Canon,"Sublime, Superb","Related to ""Bal"". Edited from ""Bahliis."""
Balkus,adjective,Non-Canon,"Skittish, Edgy","From the word ""Valk"" meaning ""Nervous""."
Balnu,adjective,Semi-Canon,Worthless,"From ""Bal"" with the suffix ""-nu."""
Banaak,noun,Semi-Canon,"Scum, Lowlife","From ""Baakrit"" and ""Naak,"" ""bottom-feeder."" Edited from ""Baanahk."""
Banaan,noun,Non-Canon,Banana,
Batak,noun,Non-Canon,Button,
Bau,verb,Non-Canon,Bang,
Baviid,noun,Non-Canon,Squid,
Bavir,adjective,Non-Canon,Couth,"From the words ""Eyvir"" meaning ""Well"" and ""Bahd"" meaning ""Manner""."
Begron,verb,Semi-Canon,Restrict,"Edited from ""Begriin."" Related to ""Gron,"" ""to find."""
Bein,adjective,Canon,Foul,
Beinoz,verb,Semi-Canon,Infect,
Bek,interjection,Non-Canon,"Okay, Sure, Alright",
Beku,noun,Non-Canon,Pepper,
Bekuhus,adjective,Non-Canon,Peppery,"""Beku"" with suffix ""-us""."
Bel,verb,Canon,Summon,
Belend,noun,Semi-Canon,Conjuration,"""Bel"" with the suffix ""-end"""
Beliik,noun,Semi-Canon,"Summoner, Conjurer","""Bel"" with the suffix ""-iik"", a practitioner of the Conjuration school."
Belur,noun,Non-Canon,"Shrine, Altar",
Belvut,verb,Semi-Canon,Conjure,"From ""Bel,"" ""to summon,"" and ""Horvut,"" ""lure."""
Bemahraan,verb,Non-Canon,"Motivate, Motivation","Based on ""Mahran"", ""motive""."
Benangaar,noun,Non-Canon,Nchardak,"From ""Ben"" and ""Angaar,"" ""The Hundred Towers."""
Beneruvos,noun,Semi-Canon,Century,"A compound of ""Ben"" and ""Eruvos"", ""hundred-year""."
Benix,preposition,Non-Canon,"Among, Amid, Amidst","From ""Nix"", ""between"". Edited from ""Benex""."
Bentmezaar,noun,Modern,Centimeter,
Bes,noun,Non-Canon,Crop,
Bestandii,adjective,Non-Canon,Constant,"From Danish ""bestandig"" and Swedish ""beständig""."
Bex,verb,Canon,Open,
Bex-Yol,noun,Semi-Canon,"Bonfire, Campfire","A compound of ""Bex"" and ""Yol"", ""open fire""."
Bexaat,noun,Semi-Canon,"Container, Box, Jar, Capsule","Canon 'Bex' with suffix '-aat', literally 'That which is opened.'"
Bexnauaas,noun,Semi-Canon,Lyre,"From ""Bex"" and ""Nauaas"", ""open lute"". Edited from ""Bexnowaas""."
Beyl,noun,Non-Canon,"Cup, Glass",
Beyliir,noun,Non-Canon,Cooper,"From ""Beyl"", ""cup"", a repairer of barrels and casks."
Beylot,noun,Non-Canon,"Mug, Tankard","Derived from ""Beyl"", ""cup""."
Beylund,noun,Non-Canon,Druid,"Related to ""Lund"" (Nature)."
Beyn,verb,Canon,"Scorn / Scorned","Can also be used as an adjective."
Beyraal,adjective,Non-Canon,Guilty,"From ""Beyrovin,"" ""guilt."""
Beyrovin,noun,Semi-Canon,Guilt,"Edited from ""Beyr."" Related to ""Tahrovin,"" ""treachery."""
Beyzol,noun,Non-Canon,Willow,
Beznan,noun,Non-Canon,"Ellipse, Oval",
Beznaneyd,noun,Semi-Canon,Ellipsoid,"""Beznan"" with suffix ""-eyd"" that which resembles an ellipse/oval."
Beznanus,adjective,Non-Canon,Elliptical,"""Beznan"" with the suffix ""-us,"" ""ellipse-like"" or ellipse-shaped."
Bii,adjective,Canon,Blue,
Bii-Graag,noun,Semi-Canon,Turquoise,"Lit. ""blue-green."""
Biifruk,noun,Semi-Canon,Plum,"Lit. ""blue fruit""."
Biigraag,adjective,Semi-Canon,"Cyan, Blue-Green","Lit. ""blue-green."""
Biijen,adjective,Semi-Canon,Indigo,"From ""Bii"" and ""Jen,"" ""blue-purple."""
Biin,noun,Semi-Canon,Bronze,"From ""Dwiin,"" ""steel."" Edited from ""Eir."""
Biirn,noun,Non-Canon,"Mail, Chainmail","From Old English ""byrne""."
Biirzah,noun,Non-Canon,Bank,
Biis,verb,Non-Canon,Pay,
Biivild,noun,Modern,"Lazurite, the blue stone lapis lazuli","From the words ""Bii"" meaning ""Blue"" and ""Vild"" meaning ""Rock""."
Biiz,noun,Semi-Canon,"Jay, Blue Jay","From ""Bii,"" ""blue."""
Biizlovaas,noun,Modern,"Piccolo, Treble, Soprano","Lit. ""jay-song."" As a noun, refers to the instrument ""piccolo."" As an adjective, refers to music piccolo-like in quality."
Bil,verb,Non-Canon,Bump,"Can also be a noun. Edited from ""Olv."""
Bild,verb,Non-Canon,Defend,"Pronounced as ""build"" or ""billed"", rather than ""beeld""."
Bildiik,noun,Non-Canon,Defender,"""Bild"" with the suffix ""-iik""."
Bildrun,noun,Non-Canon,Defense,"Based on ""Bild"", ""defend""."
Bilus,adjective,Non-Canon,Bumpy,"""Bil"" (Bump) with the suffix ""-us"". Edited from ""Olvkei"" and ""Bilbus."""
Binrut,verb,Non-Canon,Scribble,
Bir,verb,Non-Canon,"Buy / Purchase",
Birbahlok,noun,Modern,Consumerism,"From ""Bir"", ""to buy"", and ""Bahlok"", ""hunger""."
Birgah,verb,Non-Canon,"Provide, Supply","From the Old Norse ""birgja""."
Birgahniir,noun,Non-Canon,"Supply, Provision","""Birgah"" with the suffix ""-niir,"" ""that which is supplied or provided."""
Birvog,noun,Non-Canon,"Club, Cudgel",
Bix,verb,Semi-Canon,Pry,"From ""Bex"", ""to open"". Pronounced with a short ""i""."
Bizur,noun,Non-Canon,Pear,
Bizuryuv,noun,Semi-Canon,Quince,"A combination of ""Bizur"", ""pear"" and ""Yuvon"", ""golden""."
Blad,noun,Non-Canon,Cabbage,"From Old (and new) Norse ""blad"" (""leaf"")"
Bo,verb,Canon,"Fly, Flow, Move, Arrive, Come, Go",
Bod,noun,Semi-Canon,"Flight, Movement, Motion","Based on ""Bo"", ""to fly""."
Bodein,verb,Semi-Canon,"Vigil, Patrol, Monitor","From ""Bo,"" ""move,"" and ""Dein,"" ""guard."" The verb ""to patrol"" and the noun ""patrol/vigil."""
Bodiir,verb,Semi-Canon,Lend,"From ""Bodiis"", ""to borrow""."
Bodiis,verb,Canon,Borrow,
Bodilir,noun,Modern,"Movie, Film, Video","Lit. ""moving picture""."
Bodilirbex,noun,Modern,Television,"Lit. ""moving-picture-opening"" or ""moving-picture-box."" Edited from ""Bodilirpok."""
Bodilirkred,noun,Modern,"Video game","Lit. ""moving picture game"""
Bodilirkredimaar,noun,Modern,"videogame controller","From ""Bodilirkred,"" ""videogame"" and ""Imaar,"" ""control"", lit. ""videogame-controller"". Encompasses any type of videogame controller."
Bodoraal,adjective,Non-Canon,"Ironic, Wry","Related to ""Bodoraas"" (Irony)."
Bodoraas,noun,Non-Canon,Irony,
Bodukaag,noun,Modern,Radiation,"Lit. ""nuclear flow."""
Bodukagaal,adjective,Modern,Radioactive,"""Bodukaag"" with the suffix ""-aal,"" lit. ""with radiation."""
Bodzah,noun,Semi-Canon,Tent,"Inspired by ""Bodein"" and ""Zah,"" meaning ""residence"" and ""finite""."
Bofus,noun,Semi-Canon,Momentum,"Lit. ""Move"", ""Force.""
"
Bogeltkey,noun,Modern,"Traffic ","Lit. ""Moving cars""."
Bok,noun,Canon,Age,
Boknu,adjective,Semi-Canon,Ageless,"""Bok"" with the suffix ""-nu."" Edited from ""Vobok."""
Bokskein,noun,Semi-Canon,"Wrinkle, specifically wrinkles from old age","Lit. ""age-scar."""
Bokun,noun,Semi-Canon,"Beam, Ray, a beam or ray of light","""Flowing light"", used to describe a beam of light rather than a physical beam. A noun only. Edited from ""Bohaan""."
Bokur,verb,Semi-Canon,"Embark, set off","From ""Bo,"" ""to move."""
Bol,noun,Non-Canon,Calf,
Bolaav,verb,Canon,Grant,"Hypothetical origin ""to move ownership."""
Bolog,verb,Canon,Beg,
Bologin,noun,Semi-Canon,Beggar,"An alteration of ""Bolog"", akin to ""Qahnaarin"" from ""Qahnaar""."
Bomas,verb,Semi-Canon,Gesture,"Based on 'Bo', 'movement.'"
Bonaak,noun,Non-Canon,Slice,
Bonaar,adjective,Canon,Humble,
Bonaarom,noun,Semi-Canon,"Humbleness, Humility","""Bonaar"" with the suffix ""-om""."
Bonit,verb,Semi-Canon,"Swoop, Sweep, esp. referring to flight","From ""Bo,"" ""to fly."""
Bonu,interjection,Semi-Canon,Begone,"Lit. ""fly now."" Edited from ""Bonau."""
Bonu,verb,Semi-Canon,Fare,"Literally ""going now."" "
Bonuv,adjective,Semi-Canon,Kinetic,"""Bo"" with the suffix ""-uv,"" related to motion."
Boraas,noun,Non-Canon,"Yew, yew tree","Edited from ""Borask."""
Bord,noun,Non-Canon,Table,
Bord-Niiv,noun,Modern,"Billiards, pool, billiard ball(s)","Lit. ""table-ball."""
Borii,adjective,Non-Canon,Next,"Edited from ""Bokrii""."
Boriigaar,adjective,Non-Canon,"Adjacent, Consecutive, Serial","From ""Borii,"" ""next."""
Bormah,noun,Canon,"Father, also used by dragons to refer to Akatosh",
Bormah-Kren,noun,Semi-Canon,"Dragon Break","Lit. ""Father-break"", styled after ""Tiid-Ahraan"", ""time-wound"".  Reference to Akatosh, the father of dragons and god of time."
Bormahmaar,noun,Semi-Canon,Fatherhood,"From ""Bormah"" with suffix ""-maar""."
Bormahrel,noun,Semi-Canon,"Patriarch, Patriarchy","Lit. ""father-rule."""
"Bormahsebormah ",noun,Semi-Canon,"Grandfather, any male ancestor","Lit. ""father of fathers."""
Bormahus,adjective,Semi-Canon,"Fatherly, Paternal","""Bormah"" with the suffix ""-us."""
Borod,noun,Non-Canon,Wagon,"Pronounced ""bore-ode"". From Bord: table, Rohd: wheel."
Borodon,noun,Non-Canon,Carriage,"Bord: table, Rod: wheel, Don: to cover."
Bosgolz,noun,Semi-Canon,Pendulum,"Compound of ""Bos"" and ""Golz"", ""swinging stone""."
Bosit,verb,Semi-Canon,Swing,"From ""Bo"", ""to move"". Edited from ""Bos."""
Bositoraak,noun,Modern,Trapeze,"From ""Bosit,"" ""swing"" and ""Oraak,"" ""stick"", lit. ""swing-stick""."
Bosmoliin,noun,Semi-Canon,"Secretion, particularly reproductive","Derived from the phrase ""flowing passion""."
Bost,noun,Non-Canon,Waist,
Bostegniir,noun,Modern,Escalator,"Lit. ""flowing stairs."""
Bothaal,verb,Semi-Canon,"Take Off, Take Flight","From ""Bo,"" ""to fly,"" lit. ""fly-leap."""
Botiid,noun,Semi-Canon,Pastime,"Lit. ""flown/gone time."""
Botiidren,noun,Semi-Canon,Hobby,"From ""Botiid,"" ""pastime"" and ""Dren,"" ""act"", lit. ""pastime act""."
Botikah,noun,Non-Canon,"Store, Stall, Booth, Boutique, any small shop","Derived from Old Occitan 'botica'."
Bovaal,noun,Semi-Canon,"Fluid, Liquid","Edited from ""Novul."" Related to ""Bo,"" ""to flow."" Can be used as a noun or adjective. "
Bovaaldah,noun,Semi-Canon,Buoyancy,"Lit. ""liquid push."" Edited from ""Novuldah."""
Bovaalik,noun,Semi-Canon,Slime,"From ""Bovaal,"" ""liquid."""
Bovaalikus,adjective,Semi-Canon,Slimy,"""Bovaal"" with the suffix ""-us."""
Boviir,noun,Non-Canon,Pants,
Boviirey,noun,Non-Canon,"Trousers, tight-fit pants","A compound of ""Boviir"" and ""Veirey""."
Bovit,verb,Semi-Canon,"Venture, Adventure","Related to ""Bo,"" ""to fly."""
Bovitaal,adjective,Semi-Canon,Adventurous,"From ""Bovit"" with the suffix ""-aal,"" with or having adventure."
Bovitaan,noun,Semi-Canon,Adventurer,"""Bovit"" suffixed with ""-aan."" Edited from ""Undoriik."""
Bovortii,verb,Semi-Canon,"Exceed. Surpass","From ""Bo"" and ""Vortii,"" literally ""fly beyond."""
Bovul,verb,Canon,"Flee / Fled",
Bovultiin,noun,Semi-Canon,Refugee,"Based on the Norwegian word for refugee, ""flyktning"", and ""Bovul"", ""to flee""."
Bovun,adjective,Semi-Canon,"Eloquent, Eloquence","Based on ""Bo"", ""flow"", and ""Vun"", ""tongue."""
Bovut,verb,Semi-Canon,Dive,"Edited from ""Skirn."" Related to ""Bo,"" ""to fly."""
Boz,noun,Non-Canon,Cow,
Bozeim,verb,Semi-Canon,"Filter, Permeate, Percolate","A compound of ""Bo"" and ""Zeim"", it literally means ""Flow or move through""."
Bozeim-Bexaat,noun,Semi-Canon,Sieve,"From ""Bozeim,"" ""filter"" and ""Bexaat,"" ""box"", lit. ""filter-box""."
Boziik,adjective,Canon,"Bold / Boldly",
Bozikaar,noun,Semi-Canon,Boldness,"""Boziik"" with the suffix ""-aar."""
Bozogaan,noun,Non-Canon,Cattle,"Based on ""Boz"" and ""Pogaan""."
Bozok,noun,Non-Canon,Bull,"Based on ""Boz"", ""cow""."
Bozul,adjective,Semi-Canon,"Fluent, Fluency","Literally means ""flowing-voiced"", from ""Bo"" and ""Zul""."
Bozulat,adjective,Non-Canon,"Articulate ","From ""Bovul"". Can also be used as a verb."
Bozuv,adjective,Non-Canon,Bovine,"Edited from ""Boziil,"" ""Boz"" with the suffix ""-uv."""
Bozveliik,noun,Modern,"Cowboy, Cowgirl, cattle-hand ","Lit. ""cow-herder."""
Braag,verb,Non-Canon,"Beckon, Bid",
Braan,adjective,Non-Canon,Fellow,"""Fellow Nord""
""A Fellow Dragonborn"""
Braandein,noun,Non-Canon,Fellowship,"""Braan"" with the suffix ""-dein""."
Braat,verb,Non-Canon,"Switch, Swap","Edited from ""Braht."""
Brah,verb,Non-Canon,"Use, Utilize, Utility",
Brahiik,noun,Non-Canon,User,"""Brah"" with the suffix ""-iik."""
Brahnu,adjective,Non-Canon,Useless,"""Brah"" with the suffix ""-nu."""
Brahnuv,adjective,Non-Canon,"Usual, Customary","Based on ""Brah"", ""to use"". Edited from ""Brahniil."""
Brak,noun,Non-Canon,Pitch,
Brak-Siin,noun,Modern,Clef,"From ""Brak,"" ""pitch"" and ""Siin,"" ""sign"", lit. ""pitch-sign""."
Branaat,noun,Non-Canon,Switch,"From ""Braat,"" ""to switch."" Edited from ""Bratahn."""
Brax,noun,Non-Canon,Bow,"The bow of a ship, rather than the verb ""to bow""."
Brek,noun,Non-Canon,Deck,"The deck of a ship, as opposed to a deck of cards."
Bremaan,noun,Non-Canon,Sload,"From ""Bremaf"", ""slug""."
Bremaav,noun,Non-Canon,Slug,"Edited from ""Bremaf."""
Brenaak,noun,Non-Canon,Bracelet,Bracelet
Brendon,noun,Canon,Specter,
Brendonus,adjective,Semi-Canon,Spectral,"""Brendon"" with the suffix ""-us."""
Brenhof,noun,Semi-Canon,Barn,"Based on Old English ""bern"" and the word ""Hofkiin"", ""home""."
Brenok,verb,Non-Canon,"Strip, Shed",
Breyl,noun,Non-Canon,Bead,"Edited from ""Gruld."""
Brigelt,noun,Semi-Canon,"Jewel, Jewelry","Inspired by the dovahzhul words for beautiful and metal: brit and gelt."
Brigeltiik,noun,Non-Canon,Jeweler,"""Brigelt"" with the suffix ""-iik."""
Brii,noun,Canon,Beauty,
Briik,verb,Non-Canon,Breach,
Briimed,noun,Semi-Canon,Metaphor,"Compound of ""Brii,"" ""beauty,"" and ""Med,"" ""like,"" roughly ""beautiful similarity."""
Briin,noun,Non-Canon,Ocean,
Briinah,noun,Canon,Sister,
Briinahmaar,noun,Canon,Sisterhood,
Briinahus,adjective,Semi-Canon,Sisterly,"""Briinah"" with the suffix ""-us."""
Briinfahliil,noun,Semi-Canon,"Sea Elf, Maormer","Translates to ""Ocean Elf"""
Brijaal,noun,Non-Canon,"Kidney
",
Brilaas,adjective,Semi-Canon,"Picturesque ","Related to ""Brii"", ""beauty""."
Brit,adjective,Canon,Beautiful,
Brituft,noun,Modern,Peacock,"Lit. ""beautiful-feather."""
Brod,noun,Canon,Clan,
Brodaan,noun,Semi-Canon,Tribe,"From ""Brod,"" ""clan."""
Brodaanuv,adjective,Semi-Canon,Tribal,"""Brodaan"" with the suffix ""-uv,"" ""of or pertaining to a tribe."""
Brodiir,noun,Non-Canon,Abbot,"Inspired from the Old English word ""abbodrice""."
Brodiiruv,adjective,Non-Canon,Abbatial,"""Brodiir"" with suffix ""-uv""."
Brolor,noun,Non-Canon,Street,"A city street, not used to mean ""path"" or ""road""."
Brom,noun,Canon,North,
Bromaak,noun,Semi-Canon,Compass,"Lit. ""north-guide."""
"Bromgrindol ",noun,Semi-Canon,"Solitude, the city of Solitude","From ""Brom"" and ""Grindol"", ""North Cliff""."
Bromlom,noun,Semi-Canon,Dawnstar,"Lit. ""Northwater""."
Bromunaar,noun,Canon,Bromjunaar,"Former capital of Skyrim and center of the Dragon Cult. Means ""North Kingdom."""
Bromuv,adjective,Semi-Canon,"Northern, Northerly","""Brom"" with the suffix ""-uv."" Revised from ""Bromen."""
Bron,noun,Canon,Nord,
Bronjun,noun,Canon,Jarl,"Specifically Jarl - not just any king. Literally ""nord king""."
Bronuv,adjective,Semi-Canon,Nordic,"""Bron"" with the suffix ""-uv"". Revised from ""Bronen."""
Bros,noun,Non-Canon,Soup,
Brot,noun,Non-Canon,Bread,"Edited from ""Brod"" to ""Brot"" to avoid conflict with the canon word ""Brod""."
Brotaag,noun,Semi-Canon,"Toast, toasted bread","From ""Ag"" and ""Brot."" Refers to bread, not a salutation or a verb meaning ""to toast."""
Brotaan,noun,Non-Canon,Sandwich,"From ""Brot,"" ""bread."""
Brothal,noun,Non-Canon,Dough,
Brotor,noun,Non-Canon,Breadstick,"Related to ""Brot""."
Brotumkip,noun,Semi-Canon,Pie,"Literally means ""bread around food""."
Bru,noun,Non-Canon,Elbow,"Shortened from ""Bruu."""
Brud,verb,Non-Canon,"Carry, Bear",
Brudaat,noun,Non-Canon,Burden,"""Brud"" with the suffix ""-aat,"" ""that which is carried/bared."""
Brudmun,noun,Semi-Canon,"Carrier, Porter, deliveryman","From ""brud"" meaning ""to carry"" and ""mun"" meaning ""man"". Together they literally mean ""carryman""."
Bruh,noun,Non-Canon,"Mist, Fog",
Bruhus,adjective,Non-Canon,"Misty, Foggy","""Bruh"" with the suffix ""-us""."
Bruleyk,verb,Semi-Canon,Struggle,"From ""Buruk"" and ""Suleyk""."
Brulost,noun,Non-Canon,Pouch,"Based on ""Brud"", ""to bear or carry""."
Bruniik,adjective,Canon,Savage,
Brunikaar,noun,Semi-Canon,"Savageness, Savagery","""Bruniik"" with the suffix ""-aar"". Edited from ""Bruniikom."""
Brutul,noun,Non-Canon,"Addiction, Addicted","As a verb, ""to be addicted to something."""
Brutuliik,noun,Non-Canon,Addict,"Edited from ""Brutsal."" ""Brutul"" with the suffix ""-iik,"" someone who is addicted."
Bruzaak,noun,Non-Canon,Shrapnel,"From ""Bruzah"", ""Shard""."
Bruzah,noun,Non-Canon,"Shard, Fragment","Edited from ""Burzah"" to avoid a homonym with the word for ""puzzle""."
Bu'ul,noun,Non-Canon,Pyramid,"Noun and adjective; can refer to the shape, a thing in that shape, or to describe something that is that shape."
Budiik,noun,Non-Canon,Monolith,
Budlaak,noun,Non-Canon,Pumpkin,
Buf,noun,Non-Canon,Livestock,"Derived from Old Norse ""bufe"""
Buld,noun,Non-Canon,"Shape / Form / Formation","Can also be used as a verb, ""to shape / to form""."
Buldus,adjective,Non-Canon,"Shapely, Comely","""Buld"" with the suffix ""-us""."
Bulned,verb,Non-Canon,"Criticize, Berate",
Bulnedak,noun,Non-Canon,Criticism,"""Bulned"" with the suffix ""-ak""."
Bulniid,noun,Semi-Canon,"Critic ","From ""Bulned"" with the suffix ""-iid""."
Bunzit,verb,Non-Canon,Bounce,
Bunzitus,adjective,Non-Canon,Bouncy,"""Bunzit"" with suffix ""-us""."
Burdah,noun,Non-Canon,"Brim, Rim","Derived from Old Norse ""bord"". Can also be used as a verb."
Burkaar,noun,Non-Canon,Alloy,
Buruk,adjective,Non-Canon,"Hard, Difficult","Edited from ""Burk""."
Buruvaan,noun,Non-Canon,Beverage,
Burzah,noun,Non-Canon,Puzzle,
Buush,verb,Non-Canon,"Clang, Clash, Clamor, the sound of metal","Edited from ""Boosh""."
Daak,noun,Non-Canon,"Hazard, Risk","

"
Daal,verb,Canon,Return,
Daalnos,verb,Semi-Canon,"Retaliate, Retaliation, Reprisal, to retaliate against","Lit. means ""return-strike"". ""Mu daalnos niin"" = ""We retaliate against them""."
Daaltun,verb,Semi-Canon,"Reciprocate, Reciprocation, Reciprocity","From ""Daal"" and ""Tun,"" ""return-trade."""
Daan,verb,Canon,Doom,"Edited from the incorrect ""Daanii"", the ""-ii"" is actually a possessive suffix."
Daanik,adjective,Canon,Doomed,
Daanstrin,adjective,Semi-Canon,"to be resigned or accepting of one's fate, place, or future","From ""Daan"" and ""Strin,"" lit. ""doom-sealed."""
Daar,pronoun,Canon,"This / These / Those / That","Used to refer to a specific person or thing."
Daarmindin,preposition,Semi-Canon,Hereafter,"Compound of ""Daar"" and ""Mindin""."
Daarz,noun,Non-Canon,"Hint, Clue","Can be also used as a verb."
Daarznu,adjective,Non-Canon,Clueless,"""Daarz"" with the suffix ""-nu""."
Daasin,noun,Non-Canon,"Surface, surface area",
Daazrii,verb,Non-Canon,"Affirm, Confirm, Testify","Verb forms are ""Daazriaan"" and ""Daazriin""."
Daazun,verb,Non-Canon,"Amaze, Astound, Amazement",
Dah,verb,Canon,Push,
Dahgriil,adjective,Non-Canon,Hyper,"Changed from ""Do"" which is ""of"" to ""Da"" for more variety of the words."
Dahik,conjunction,Non-Canon,Because,
Dahkriis,verb,Non-Canon,"Bet, Wager","To risk gain or loss. To feel sure of a truth, actuality, or probability. Also a noun."
Dahmaan,verb,Canon,Remember,
Dahmaar,noun,Semi-Canon,Remembrance,"From ""Dahmaan,"" ""to remember."""
Dahmiik,adjective,Semi-Canon,Reminiscent,"From ""Dahmaan,"" ""to remember."""
Dahmin,adjective,Semi-Canon,Remembered,"Derived from ""Vodahmin"", ""unremembered""."
Dahpeliik,noun,Modern,"Typewriter, Keyboard","From ""Dah"" and ""Peliik,"" ""press-writer."" Edited from ""Drokpeliik."""
Dahral,noun,Non-Canon,Hood/Hat/Cowl,
Dahralvith,noun,Semi-Canon,Cobra,"From ""Dahral"" and ""Vith,"" ""hooded viper."""
Dahrim,verb,Semi-Canon,Brush,"Derives from ""Dah / Push."" Edited from ""Dahrm."""
Dahrin,noun,Non-Canon,Reason,
Dahrinaal,adjective,Non-Canon,Reasonable,"""Dahrin"" with the suffix ""-aal"", ""with/having reason""."
Dahrit,verb,Semi-Canon,Press,"From ""Dah,"" ""to push."""
